date,price
2025-02-24,7023.0
2025-02-25,7038.0
2025-02-26,7050.0
2025-02-27,7180.0
2025-02-28,7096.0
2025-03-01,7171.0
2025-03-02,7117.0
2025-03-03,7138.0
2025-03-04,7175.0
2025-03-05,7160.0
2025-03-06,7161.0
2025-03-07,7145.0
2025-03-08,7147.0
2025-03-09,7107.0
2025-03-10,7067.0
2025-03-11,7033.0
2025-03-12,7131.0
2025-03-13,7144.0
2025-03-14,7109.0
2025-03-15,7183.0
2025-03-16,7094.0
2025-03-17,7122.0
2025-03-18,7113.0
2025-03-19,7149.0
2025-03-20,7143.0
2025-03-21,7116.0
2025-03-22,7102.0
2025-03-23,7087.0
2025-03-24,7101.0
2025-03-25,7041.0
2025-03-26,7024.0
2025-03-27,6961.0
2025-03-28,6978.0
2025-03-29,6952.0
2025-03-30,6881.0
2025-03-31,6824.0
2025-04-01,6826.0
2025-04-02,6812.0
2025-04-03,6743.0
2025-04-04,6704.0
2025-04-05,6711.0
2025-04-06,6695.0
2025-04-07,6650.0
2025-04-08,6691.0
2025-04-09,6662.0
2025-04-10,6671.0
2025-04-11,6614.0
2025-04-12,6726.0
2025-04-13,6760.0
2025-04-14,6763.0
2025-04-15,6750.0
2025-04-16,6751.0
2025-04-17,6701.0
2025-04-18,6672.0
2025-04-19,6706.0
2025-04-20,6790.0
2025-04-21,6907.0
2025-04-22,6925.0
2025-04-23,6918.0
2025-04-24,6899.0
2025-04-25,6932.0
2025-04-26,6923.0
2025-04-27,6941.0
2025-04-28,6954.0
2025-04-29,6962.0
2025-04-30,6953.0
2025-05-01,6972.0
2025-05-02,6972.0
2025-05-03,6924.0
2025-05-04,6885.0
2025-05-05,6908.0
2025-05-06,6934.0
2025-05-07,6993.0
2025-05-08,7029.0
2025-05-09,6909.0
2025-05-10,6912.0
2025-05-11,6840.0
2025-05-12,6861.0
2025-05-13,6844.0
2025-05-14,6840.0
2025-05-15,6925.0
2025-05-16,6881.0
2025-05-17,6851.0
2025-05-18,6886.0
2025-05-19,6841.0
2025-05-20,6827.0
2025-05-21,6884.0
2025-05-22,6913.0
2025-05-23,6940.0
2025-05-24,6899.0
2025-05-25,6899.0
2025-05-26,6925.0
2025-05-27,6982.0
2025-05-28,7038.0
2025-05-29,7041.0
2025-05-30,7026.0
2025-05-31,7071.0
2025-06-01,7097.0
2025-06-02,7101.0
2025-06-03,7054.0
2025-06-04,7056.0
2025-06-05,7085.0
2025-06-06,7046.0
2025-06-07,7052.0
2025-06-08,7020.0
2025-06-09,7045.0
2025-06-10,7089.0
2025-06-11,7072.0
2025-06-12,7069.0
2025-06-13,7090.0
2025-06-14,7056.0
2025-06-15,7049.0
2025-06-16,7000.0
2025-06-17,7037.0
2025-06-18,6978.0
2025-06-19,6944.0
2025-06-20,6959.0
2025-06-21,7034.0
2025-06-22,7034.0
2025-06-23,7004.0
2025-06-24,6986.0
2025-06-25,7001.0
2025-06-26,7024.0
2025-06-27,7063.0
2025-06-28,7080.0
2025-06-29,7054.0
2025-06-30,7116.0
2025-07-01,7197.0
2025-07-02,7102.0
2025-07-03,7178.0
2025-07-04,7163.0
2025-07-05,7181.0
2025-07-06,7167.0
2025-07-07,7151.0
2025-07-08,7075.0
2025-07-09,7023.0
2025-07-10,7029.0
2025-07-11,6975.0
2025-07-12,6995.0
2025-07-13,6964.0
2025-07-14,6964.0
2025-07-15,6856.0
2025-07-16,6848.0
2025-07-17,6830.0
2025-07-18,6800.0
2025-07-19,6812.0
2025-07-20,6857.0
2025-07-21,6877.0
2025-07-22,6847.0
2025-07-23,6812.0
2025-07-24,6818.0
2025-07-25,6879.0
2025-07-26,6924.0
2025-07-27,7045.0
2025-07-28,7012.0
2025-07-29,7055.0
2025-07-30,7103.0
2025-07-31,7096.0
2025-08-01,7160.0
2025-08-02,7184.0
2025-08-03,7171.0
2025-08-04,7164.0
2025-08-05,7136.0
2025-08-06,7188.0
2025-08-07,7190.0
2025-08-08,7190.0
2025-08-09,7187.0
2025-08-10,7234.0
2025-08-11,7233.0
2025-08-12,7183.0
2025-08-13,7232.0
2025-08-14,7251.0
2025-08-15,7237.0
2025-08-16,7331.0
2025-08-17,7436.0
2025-08-18,7502.0
2025-08-19,7508.0
2025-08-20,7492.0
2025-08-21,7475.0
2025-08-22,7489.0
2025-08-23,7476.0
2025-08-24,7441.0
2025-08-25,7419.0
2025-08-26,7444.0
2025-08-27,7473.0
2025-08-28,7425.0
2025-08-29,7391.0
2025-08-30,7430.0
2025-08-31,7378.0
2025-09-01,7306.0
2025-09-02,7304.0
2025-09-03,7392.0
2025-09-04,7328.0
2025-09-05,7270.0
2025-09-06,7272.0
2025-09-07,7375.0
2025-09-08,7367.0
2025-09-09,7330.0
2025-09-10,7314.0
2025-09-11,7313.0
2025-09-12,7293.0
2025-09-13,7389.0
2025-09-14,7339.0
2025-09-15,7323.0
2025-09-16,7251.0
2025-09-17,7218.0
2025-09-18,7177.0
2025-09-19,7264.0
2025-09-20,7311.0
