date,price
2025-02-24,1934.0
2025-02-25,1923.0
2025-02-26,1961.0
2025-02-27,1973.0
2025-02-28,1965.0
2025-03-01,2020.0
2025-03-02,2009.0
2025-03-03,1995.0
2025-03-04,2007.0
2025-03-05,2004.0
2025-03-06,2012.0
2025-03-07,2015.0
2025-03-08,1997.0
2025-03-09,2015.0
2025-03-10,2034.0
2025-03-11,2029.0
2025-03-12,2010.0
2025-03-13,2007.0
2025-03-14,2033.0
2025-03-15,2055.0
2025-03-16,2041.0
2025-03-17,2036.0
2025-03-18,2054.0
2025-03-19,2054.0
2025-03-20,2084.0
2025-03-21,2113.0
2025-03-22,2106.0
2025-03-23,2110.0
2025-03-24,2102.0
2025-03-25,2121.0
2025-03-26,2154.0
2025-03-27,2128.0
2025-03-28,2105.0
2025-03-29,2077.0
2025-03-30,2081.0
2025-03-31,2093.0
2025-04-01,2075.0
2025-04-02,2069.0
2025-04-03,2064.0
2025-04-04,2059.0
2025-04-05,2055.0
2025-04-06,2031.0
2025-04-07,2081.0
2025-04-08,2106.0
2025-04-09,2099.0
2025-04-10,2082.0
2025-04-11,2075.0
2025-04-12,2065.0
2025-04-13,2072.0
2025-04-14,2069.0
2025-04-15,2079.0
2025-04-16,2096.0
2025-04-17,2138.0
2025-04-18,2123.0
2025-04-19,2106.0
2025-04-20,2086.0
2025-04-21,2063.0
2025-04-22,2059.0
2025-04-23,2077.0
2025-04-24,2102.0
2025-04-25,2118.0
2025-04-26,2096.0
2025-04-27,2125.0
2025-04-28,2135.0
2025-04-29,2138.0
2025-04-30,2116.0
2025-05-01,2105.0
2025-05-02,2093.0
2025-05-03,2104.0
2025-05-04,2075.0
2025-05-05,2096.0
2025-05-06,2105.0
2025-05-07,2091.0
2025-05-08,2081.0
2025-05-09,2118.0
2025-05-10,2074.0
2025-05-11,2058.0
2025-05-12,2051.0
2025-05-13,2052.0
2025-05-14,2062.0
2025-05-15,2051.0
2025-05-16,2041.0
2025-05-17,2029.0
2025-05-18,2053.0
2025-05-19,2029.0
2025-05-20,2029.0
2025-05-21,2078.0
2025-05-22,2086.0
2025-05-23,2091.0
2025-05-24,2110.0
2025-05-25,2133.0
2025-05-26,2112.0
2025-05-27,2126.0
2025-05-28,2107.0
2025-05-29,2109.0
2025-05-30,2090.0
2025-05-31,2099.0
2025-06-01,2124.0
2025-06-02,2126.0
2025-06-03,2109.0
2025-06-04,2152.0
2025-06-05,2191.0
2025-06-06,2164.0
2025-06-07,2208.0
2025-06-08,2182.0
2025-06-09,2180.0
2025-06-10,2168.0
2025-06-11,2190.0
2025-06-12,2170.0
2025-06-13,2168.0
2025-06-14,2204.0
2025-06-15,2202.0
2025-06-16,2215.0
2025-06-17,2190.0
2025-06-18,2199.0
2025-06-19,2179.0
2025-06-20,2146.0
2025-06-21,2126.0
2025-06-22,2150.0
2025-06-23,2154.0
2025-06-24,2159.0
2025-06-25,2131.0
2025-06-26,2145.0
2025-06-27,2171.0
2025-06-28,2191.0
2025-06-29,2217.0
2025-06-30,2220.0
2025-07-01,2223.0
2025-07-02,2214.0
2025-07-03,2193.0
2025-07-04,2217.0
2025-07-05,2191.0
2025-07-06,2196.0
2025-07-07,2214.0
2025-07-08,2209.0
2025-07-09,2221.0
2025-07-10,2197.0
2025-07-11,2227.0
2025-07-12,2216.0
2025-07-13,2187.0
2025-07-14,2172.0
2025-07-15,2166.0
2025-07-16,2162.0
2025-07-17,2176.0
2025-07-18,2146.0
2025-07-19,2186.0
2025-07-20,2209.0
2025-07-21,2232.0
2025-07-22,2254.0
2025-07-23,2203.0
2025-07-24,2194.0
2025-07-25,2227.0
2025-07-26,2225.0
2025-07-27,2250.0
2025-07-28,2281.0
2025-07-29,2266.0
2025-07-30,2251.0
2025-07-31,2242.0
2025-08-01,2236.0
2025-08-02,2230.0
2025-08-03,2224.0
2025-08-04,2246.0
2025-08-05,2264.0
2025-08-06,2245.0
2025-08-07,2230.0
2025-08-08,2259.0
2025-08-09,2233.0
2025-08-10,2220.0
2025-08-11,2231.0
2025-08-12,2223.0
2025-08-13,2289.0
2025-08-14,2250.0
2025-08-15,2302.0
2025-08-16,2278.0
2025-08-17,2307.0
2025-08-18,2308.0
2025-08-19,2292.0
2025-08-20,2358.0
2025-08-21,2400.0
2025-08-22,2381.0
2025-08-23,2391.0
2025-08-24,2399.0
2025-08-25,2414.0
2025-08-26,2449.0
2025-08-27,2448.0
2025-08-28,2432.0
2025-08-29,2445.0
2025-08-30,2417.0
2025-08-31,2422.0
2025-09-01,2433.0
2025-09-02,2430.0
2025-09-03,2447.0
2025-09-04,2483.0
2025-09-05,2520.0
2025-09-06,2534.0
2025-09-07,2548.0
2025-09-08,2578.0
2025-09-09,2552.0
2025-09-10,2569.0
2025-09-11,2557.0
2025-09-12,2566.0
2025-09-13,2576.0
2025-09-14,2546.0
2025-09-15,2561.0
2025-09-16,2551.0
2025-09-17,2534.0
2025-09-18,2540.0
2025-09-19,2531.0
2025-09-20,2559.0
2025-09-21,2573.0
2025-09-22,2538.0
2025-09-23,2536.0
2025-09-24,2522.0
2025-09-25,2519.0
2025-09-26,2543.0
2025-09-27,2559.0
2025-09-28,2529.0
2025-09-29,2526.0
2025-09-30,2539.0
2025-10-01,2499.0
2025-10-02,2497.0
2025-10-03,2463.0
2025-10-04,2535.0
2025-10-05,2566.0
2025-10-06,2570.0
2025-10-07,2566.0
2025-10-08,2572.0
2025-10-09,2500.0
2025-10-10,2524.0
2025-10-11,2521.0
2025-10-12,2493.0
2025-10-13,2519.0
2025-10-14,2504.0
2025-10-15,2484.0
2025-10-16,2444.0
2025-10-17,2375.0
2025-10-18,2338.0
2025-10-19,2345.0
2025-10-20,2348.0
2025-10-21,2373.0
2025-10-22,2401.0
2025-10-23,2371.0
2025-10-24,2328.0
2025-10-25,2292.0
2025-10-26,2319.0
2025-10-27,2331.0
2025-10-28,2342.0
2025-10-29,2329.0
2025-10-30,2290.0
2025-10-31,2280.0
2025-11-01,2296.0
2025-11-02,2295.0
2025-11-03,2259.0
2025-11-04,2240.0
2025-11-05,2286.0
2025-11-06,2239.0
2025-11-07,2234.0
2025-11-08,2262.0
2025-11-09,2277.0
2025-11-10,2307.0
2025-11-11,2288.0
2025-11-12,2314.0
2025-11-13,2306.0
2025-11-14,2283.0
2025-11-15,2266.0
2025-11-16,2262.0
2025-11-17,2277.0
2025-11-18,2296.0
2025-11-19,2272.0
2025-11-20,2285.0
2025-11-21,2280.0
2025-11-22,2288.0
2025-11-23,2246.0
2025-11-24,2236.0
2025-11-25,2231.0
2025-11-26,2227.0
2025-11-27,2198.0
2025-11-28,2181.0
2025-11-29,2196.0
2025-11-30,2186.0
2025-12-01,2199.0
2025-12-02,2232.0
2025-12-03,2262.0
2025-12-04,2244.0
2025-12-05,2245.0
2025-12-06,2264.0
2025-12-07,2253.0
2025-12-08,2237.0
2025-12-09,2198.0
2025-12-10,2206.0
2025-12-11,2200.0
2025-12-12,2213.0
2025-12-13,2269.0
2025-12-14,2241.0
2025-12-15,2244.0
2025-12-16,2273.0
2025-12-17,2293.0
2025-12-18,2286.0
2025-12-19,2280.0
2025-12-20,2243.0
2025-12-21,2236.0
2025-12-22,2245.0
2025-12-23,2298.0
2025-12-24,2254.0
2025-12-25,2258.0
2025-12-26,2251.0
2025-12-27,2264.0
2025-12-28,2264.0
2025-12-29,2274.0
2025-12-30,2287.0
2025-12-31,2253.0
2026-01-01,2213.0
2026-01-02,2241.0
2026-01-03,2284.0
2026-01-04,2278.0
2026-01-05,2305.0
2026-01-06,2319.0
2026-01-07,2314.0
2026-01-08,2316.0
2026-01-09,2348.0
2026-01-10,2352.0
2026-01-11,2343.0
2026-01-12,2345.0
2026-01-13,2381.0
2026-01-14,2446.0
2026-01-15,2484.0
2026-01-16,2464.0
2026-01-17,2478.0
2026-01-18,2475.0
2026-01-19,2466.0
2026-01-20,2433.0
2026-01-21,2492.0
2026-01-22,2509.0
2026-01-23,2500.0
2026-01-24,2483.0
2026-01-25,2475.0
2026-01-26,2470.0
2026-01-27,2501.0
2026-01-28,2504.0
2026-01-29,2501.0
2026-01-30,2522.0
2026-01-31,2480.0
2026-02-01,2451.0
2026-02-02,2440.0
2026-02-03,2417.0
2026-02-04,2412.0
2026-02-05,2409.0
2026-02-06,2401.0
2026-02-07,2416.0
2026-02-08,2427.0
2026-02-09,2403.0
2026-02-10,2382.0
2026-02-11,2355.0
2026-02-12,2325.0
2026-02-13,2305.0
2026-02-14,2298.0
2026-02-15,2271.0
2026-02-16,2298.0
2026-02-17,2315.0
2026-02-18,2324.0
2026-02-19,2338.0
2026-02-20,2358.0
2026-02-21,2383.0
2026-02-22,2375.0
2026-02-23,2397.0
