date,price
2025-02-24,2312.0
2025-02-25,2301.0
2025-02-26,2323.0
2025-02-27,2331.0
2025-02-28,2312.0
2025-03-01,2294.0
2025-03-02,2332.0
2025-03-03,2356.0
2025-03-04,2355.0
2025-03-05,2361.0
2025-03-06,2376.0
2025-03-07,2377.0
2025-03-08,2367.0
2025-03-09,2343.0
2025-03-10,2353.0
2025-03-11,2344.0
2025-03-12,2337.0
2025-03-13,2331.0
2025-03-14,2329.0
2025-03-15,2322.0
2025-03-16,2324.0
2025-03-17,2321.0
2025-03-18,2302.0
2025-03-19,2315.0
2025-03-20,2314.0
2025-03-21,2332.0
2025-03-22,2323.0
2025-03-23,2319.0
2025-03-24,2348.0
2025-03-25,2318.0
2025-03-26,2317.0
2025-03-27,2267.0
2025-03-28,2237.0
2025-03-29,2224.0
2025-03-30,2221.0
2025-03-31,2208.0
2025-04-01,2213.0
2025-04-02,2203.0
2025-04-03,2199.0
2025-04-04,2199.0
2025-04-05,2176.0
2025-04-06,2162.0
2025-04-07,2139.0
2025-04-08,2157.0
2025-04-09,2162.0
2025-04-10,2174.0
2025-04-11,2163.0
2025-04-12,2161.0
2025-04-13,2147.0
2025-04-14,2109.0
2025-04-15,2117.0
2025-04-16,2101.0
2025-04-17,2078.0
2025-04-18,2070.0
2025-04-19,2079.0
2025-04-20,2083.0
2025-04-21,2081.0
2025-04-22,2126.0
2025-04-23,2103.0
2025-04-24,2120.0
2025-04-25,2133.0
2025-04-26,2123.0
2025-04-27,2094.0
2025-04-28,2091.0
2025-04-29,2106.0
2025-04-30,2083.0
2025-05-01,2073.0
2025-05-02,2088.0
2025-05-03,2074.0
2025-05-04,2085.0
2025-05-05,2099.0
2025-05-06,2126.0
2025-05-07,2128.0
2025-05-08,2138.0
2025-05-09,2153.0
2025-05-10,2143.0
2025-05-11,2132.0
2025-05-12,2138.0
2025-05-13,2153.0
2025-05-14,2136.0
2025-05-15,2128.0
2025-05-16,2151.0
2025-05-17,2149.0
2025-05-18,2140.0
2025-05-19,2118.0
2025-05-20,2087.0
2025-05-21,2088.0
2025-05-22,2079.0
2025-05-23,2071.0
2025-05-24,2062.0
2025-05-25,2042.0
2025-05-26,2022.0
2025-05-27,2001.0
2025-05-28,1984.0
2025-05-29,1992.0
2025-05-30,1986.0
2025-05-31,2009.0
2025-06-01,1974.0
2025-06-02,1966.0
2025-06-03,1972.0
2025-06-04,1963.0
2025-06-05,1972.0
2025-06-06,1952.0
2025-06-07,1960.0
2025-06-08,1959.0
2025-06-09,1954.0
2025-06-10,1917.0
2025-06-11,1870.0
2025-06-12,1888.0
2025-06-13,1880.0
2025-06-14,1866.0
2025-06-15,1874.0
2025-06-16,1881.0
2025-06-17,1855.0
2025-06-18,1845.0
2025-06-19,1858.0
2025-06-20,1834.0
