date,price
2026-01-01,2180
2026-01-02,2195
2026-01-03,2188
2026-01-04,2210
2026-01-05,2205
2026-01-06,2198
2026-01-07,2215
2026-01-08,2230
2026-01-09,2225
2026-01-10,2218
2026-01-11,2240
2026-01-12,2235
2026-01-13,2228
2026-01-14,2245
2026-01-15,2260
2026-01-16,2248
2026-01-17,2232
2026-01-18,2220
2026-01-19,2208
2026-01-20,2215
2026-01-21,2240
2026-01-22,2255
2026-01-23,2248
2026-01-24,2230
2026-01-25,2218
2026-01-26,2225
2026-01-27,2242
2026-01-28,2258
2026-01-29,2245
2026-01-30,2238
2026-01-31,2250
2026-02-01,2265
2026-02-02,2255
2026-02-03,2240
2026-02-04,2228
2026-02-05,2235
2026-02-06,2248
2026-02-07,2260
2026-02-08,2252
2026-02-09,2245
2026-02-10,2268
2026-02-11,2278
2026-02-12,2265
2026-02-13,2252
2026-02-14,2240
2026-02-15,2255
2026-02-16,2270
2026-02-17,2262
2026-02-18,2248
2026-02-19,2235
2026-02-20,2242
2026-02-21,2250
